Mean,SD,SE,LowerCI,UpperCI,WaveNumber,Significant,times_selected
59.4354148510502,92.2925126626502,1.30521323113011,56.8766243906088,61.9942053114917,0,Yes,2175
5.46756489116745,32.6628701343585,0.46192273930041,4.56199370127117,6.37313608106373,1,Yes,615
0.78850626465197,8.22092467888309,0.116261431761241,0.56058286071103,1.01642966859291,2,Yes,141
0.59929675401501,8.75679906950283,0.12383984007067,0.356516345544087,0.842077162485934,3,Yes,35
0,0,0,0,0,4,No,0
0.0998011579788127,2.04529169393884,0.0289247925257735,0.0430958768646199,0.156506439093005,5,Yes,15
0.202264703449304,3.86610373122309,0.0546749633023692,0.0950777923865388,0.309451614512069,6,Yes,21
0.221348772215073,3.41845433817779,0.0483442448740417,0.126572846220334,0.316124698209813,7,Yes,25
0.229194422728414,3.8766791227816,0.0548245219240637,0.121714311163737,0.33667453429309,8,Yes,25
0.411928769937958,5.74225447705259,0.081207741600454,0.252725974896325,0.571131564979591,9,Yes,38
0.466498339376761,6.52199906922984,0.0922349953748954,0.28567728986917,0.647319388884353,10,Yes,42
0.729626840646067,8.36006571184992,0.118229183120284,0.497845780893839,0.961407900398294,11,Yes,64
0.714620908771564,6.72708197590742,0.0951353056552387,0.528113978903077,0.901127838640051,12,Yes,109
0.0299087709106008,0.503851101764361,0.00712553061531786,0.0159396053143618,0.0438779365068397,13,Yes,19
0,0,0,0,0,14,No,0
0,0,0,0,0,15,No,0
0,0,0,0,0,16,No,0
0,0,0,0,0,17,No,0
0,0,0,0,0,18,No,0
0,0,0,0,0,19,No,0
0,0,0,0,0,20,No,0
0,0,0,0,0,21,No,0
0,0,0,0,0,22,No,0
0,0,0,0,0,23,No,0
0,0,0,0,0,24,No,0
0,0,0,0,0,25,No,0
0,0,0,0,0,26,No,0
0,0,0,0,0,27,No,0
0,0,0,0,0,28,No,0
0,0,0,0,0,29,No,0
0,0,0,0,0,30,No,0
0,0,0,0,0,31,No,0
0.383129209142149,7.70145255442254,0.108914986524373,0.16960806035915,0.596650357925149,32,Yes,43
0,0,0,0,0,33,No,0
0,0,0,0,0,34,No,0
0,0,0,0,0,35,No,0
0,0,0,0,0,36,No,0
0,0,0,0,0,37,No,0
0,0,0,0,0,38,No,0
0,0,0,0,0,39,No,0
0,0,0,0,0,40,No,0
0,0,0,0,0,41,No,0
0,0,0,0,0,42,No,0
0,0,0,0,0,43,No,0
0,0,0,0,0,44,No,0
0,0,0,0,0,45,No,0
0,0,0,0,0,46,No,0
0,0,0,0,0,47,No,0
0,0,0,0,0,48,No,0
0,0,0,0,0,49,No,0
0,0,0,0,0,50,No,0
0,0,0,0,0,51,No,0
0,0,0,0,0,52,No,0
0.0849067152150147,2.03707093389534,0.0288085334223081,0.0284293529402818,0.141384077489748,53,Yes,9
0.0474691581731894,1.62479384413506,0.0229780549043612,0.00242209131356937,0.0925162250328095,54,Yes,5
0.0569503129013569,1.94133395034335,0.027454608016709,0.00312723831645719,0.110773387486257,55,Yes,13
0,0,0,0,0,56,No,0
0,0,0,0,0,57,No,0
0,0,0,0,0,58,No,0
0,0,0,0,0,59,No,0
0,0,0,0,0,60,No,0
0.0180923036541627,0.571899933528329,0.00808788642316034,0.00223649854039008,0.0339481087679352,61,Yes,5
0.00337453997826775,0.106669621854152,0.00150853625919351,0.000417147195854596,0.00633193276068091,62,Yes,5
0,0,0,0,0,63,No,0
0,0,0,0,0,64,No,0
0,0,0,0,0,65,No,0
0,0,0,0,0,66,No,0
0,0,0,0,0,67,No,0
0,0,0,0,0,68,No,0
0.0309693365571613,0.978944520112673,0.0138443661715416,0.00382830607593769,0.058110367038385,69,Yes,5
0.00983023411078896,0.310734903746469,0.00439445515180954,0.0012151744001607,0.0184452938214172,70,Yes,5
0,0,0,0,0,71,No,0
0,0,0,0,0,72,No,0
0,0,0,0,0,73,No,0
0,0,0,0,0,74,No,0
0,0,0,0,0,75,No,0
0,0,0,0,0,76,No,0
0,0,0,0,0,77,No,0
0,0,0,0,0,78,No,0
0,0,0,0,0,79,No,0
0,0,0,0,0,80,No,0
0,0,0,0,0,81,No,0
0,0,0,0,0,82,No,0
0,0,0,0,0,83,No,0
0,0,0,0,0,84,No,0
0,0,0,0,0,85,No,0
0,0,0,0,0,86,No,0
0,0,0,0,0,87,No,0
0,0,0,0,0,88,No,0
0,0,0,0,0,89,No,0
0,0,0,0,0,90,No,0
0,0,0,0,0,91,No,0
0,0,0,0,0,92,No,0
0,0,0,0,0,93,No,0
0,0,0,0,0,94,No,0
0,0,0,0,0,95,No,0
0,0,0,0,0,96,No,0
0,0,0,0,0,97,No,0
0,0,0,0,0,98,No,0
0,0,0,0,0,99,No,0
0,0,0,0,0,100,No,0
0,0,0,0,0,101,No,0
0,0,0,0,0,102,No,0
0,0,0,0,0,103,No,0
0,0,0,0,0,104,No,0
0.121997378751409,4.97952572827621,0.0704211281911398,-0.0160589224960068,0.260053679998825,105,No,3
0.1045592550479,3.3044861602581,0.046732491445112,0.0129430727641232,0.196175437331677,106,Yes,8
0.227456363519132,6.07537777833972,0.0859188165066816,0.059017795164013,0.39589493187425,107,Yes,7
2.82268157069954e-05,0.000753940519607166,1.06623290805107e-05,7.32397371413915e-06,4.91296576998516e-05,108,Yes,7
0,0,0,0,0,109,No,0
0,0,0,0,0,110,No,0
0,0,0,0,0,111,No,0
0,0,0,0,0,112,No,0
0,0,0,0,0,113,No,0
0.564941076902839,9.91538974766104,0.140224786573574,0.290038986084141,0.839843167721537,114,Yes,24
0.501082445542283,8.7470842898728,0.123702452339587,0.25857137728895,0.743593513795615,115,Yes,37
0.229755704538479,3.84844720200462,0.0544252622715173,0.123058317026707,0.336453092050251,116,Yes,33
0.0736579732009471,1.98184055864761,0.0280274579650052,0.0187118614386695,0.128604084963225,117,Yes,25
0.0736422677668322,1.49761317649167,0.0211794486538317,0.0321212581108772,0.115163277422787,118,Yes,36
0.00237320037952308,0.0860748583504958,0.00121728232058614,-1.32069256518182e-05,0.00475960768469797,119,No,13
0.128295412921025,4.40415574730342,0.0622841678863991,0.00619112312137365,0.250399702720677,120,Yes,13
0.0912962414638128,2.09836599499976,0.0296753764895118,0.0331194865395431,0.149472996388082,121,Yes,21
0.0239766420892702,0.512583044963433,0.00724901894029785,0.00976538520832894,0.0381878989702115,122,Yes,11
0.250379675145831,4.24082085965841,0.0599742637532365,0.132803810678915,0.367955539612747,123,Yes,29
-0.0135255452655603,1.36925386007208,0.0193641737924565,-0.0514878199289622,0.0244367293978416,124,No,12
-0.462695989002243,8.16171125538608,0.115424027495401,-0.68897771325755,-0.236414264746936,125,Yes,57
-0.0958699839737291,4.15959708549213,0.0588255861231057,-0.211193936421981,0.0194539684745232,126,No,41
-0.00651949756087393,4.24484287923774,0.0600311436996087,-0.124206871672878,0.11116787655113,127,No,22
-0.12267433734973,2.95049466660896,0.0417262957322788,-0.204476180085317,-0.0408724946141426,128,Yes,16
-0.0295348192795518,0.933599253341111,0.0132030872589639,-0.0554186617972691,-0.00365097676183457,129,Yes,5
0,0,0,0,0,130,No,0
0.266423772103343,4.79483618754433,0.067809223657825,0.133487949444428,0.399359594762258,131,Yes,32
0.547779479322285,5.92421028303467,0.0837809852861778,0.383531997911882,0.712026960732689,132,Yes,70
0.351348395753842,6.31069227647126,0.089246666053488,0.17638578253689,0.526311008970795,133,Yes,39
0.0965856702380494,2.42594286752888,0.0343080130480161,0.0293269155685507,0.163844424907548,134,Yes,8
0.0654864892038517,2.06320472786859,0.0291781210810405,0.00828457299961072,0.122688405408093,135,Yes,8
0,0,0,0,0,136,No,0
0.000128341559671719,0.00370304841628942,5.23690129244071e-05,2.56753228471947e-05,0.000231007796496244,137,Yes,6
0,0,0,0,0,138,No,0
0.318605665600592,5.65865080062294,0.0800254070697433,0.161720764866247,0.475490566334937,139,Yes,16
5.68356597172173e-05,0.00163988345040335,2.3191454162716e-05,1.13702367043496e-05,0.000102301082730085,140,Yes,6
0.405261425316852,6.10865834135687,0.0863894747425042,0.235900160366858,0.574622690266847,141,Yes,33
0.114906575247856,1.57156457479878,0.0222252793582555,0.071335278661083,0.158477871834628,142,Yes,43
0.280716395393818,3.86419486560834,0.0546479678659579,0.173582407227878,0.387850383559759,143,Yes,67
0.209245070801561,3.62993808974874,0.0513350767709735,0.108605802370409,0.309884339232714,144,Yes,28
0.699650044984745,8.79961682480851,0.124445374573307,0.455682523272965,0.943617566696525,145,Yes,79
0.588667631913786,7.87135648265466,0.111317790920436,0.370435932532376,0.806899331295196,146,Yes,57
2.05252427970445,16.0330486444613,0.226741548391847,1.6080113854332,2.4970371739757,147,Yes,103
0.902226907838955,8.51288233465665,0.120390336525578,0.666209039429626,1.13824477624828,148,Yes,105
0.969944787209319,10.1713607485383,0.143844763183722,0.687945954344075,1.25194362007456,149,Yes,118
0.719649748950518,5.81468225921927,0.0822320251187812,0.558438908914418,0.880860588986618,150,Yes,130
1.83463275675163,13.2448313679294,0.187310201518704,1.46742259878041,2.20184291472286,151,Yes,205
0.32153800648871,4.16353036872757,0.0588812111480678,0.206105004591801,0.43697100838562,152,Yes,75
